Testing writing tp d1.csv
Millis, BME680 Temp C, BME680 Pressure hPa, BME680 Humidity %, BME680 Gas KOhms, BME680 Approx Alt m, SHT31 Hum %, SHT31 Temp C, LSM9DS1 AccX, LSM9DS1 AccY, LSM9DS1 AccZ, LSM9DS1 GyroX, LSM9DS1 GyroY, LSM9DS1 GyroZ, LSM9DS1 MagX, LSM9DS1 MagY, LSM9DS1 MagZ, LSM6DS AccX, LSM6DS AccY, LSM6DS AccZ, LSM6DS GyroX, LSM6DS GyroY, LSM6DS GyroZ, LSM6DS Temp, INA260 Current mA, INA260 Bus Voltage mV, INA260 Power mW, MTK3339 Date, MTK3339 Latitude, MTK3339 Longitude, MTK3339 Speed, MTK3339 Angle, MTK3339 Altitude, MTK3339 Satellites, MD0555 Wind Speed RAW, PT1000 Temp RAW, ZOPT220 UV Index, ZOPT220 Ambient Light, GeigerInterrupt CPS, 
13680, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -19.07, 47.99, -5.76, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
13818, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 0.98, -20.90, 47.14, -3.50, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
13961, 40.01, 946.91, 9.39, 29177, 567.40, 11.49, 35.35, -0.95, -0.37, 0.10, -1.46, 1.10, 1.04, -20.95, 47.62, -3.26, -0.00, -1.00, 0.08, -0.24, -0.12, 0.00, 42.91, 216.25, 11276.25, 2440.00, -, -, -, -, -, -, -, 146, 1023, 0.00, 1413, 0.34, 
15408, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.04, 1.16, -20.26, 47.73, -3.41, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
15546, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.04, 0.98, -17.94, 48.50, -4.66, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
15689, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.22, 1.10, -18.98, 47.41, -4.26, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
15827, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 1.10, -16.86, 48.65, -4.42, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
15965, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.16, 1.10, -19.97, 47.27, -4.26, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
16508, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 1.16, -19.19, 47.77, -7.31, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
16646, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.28, 1.28, 1.10, -18.90, 47.57, -3.76, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
16784, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.10, 1.10, -19.01, 47.55, -2.70, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
16927, 39.93, 946.92, 9.35, 33298, 567.40, 11.54, 35.35, -0.95, -0.37, 0.10, -1.46, 1.16, 1.10, -18.98, 47.38, -4.58, -0.00, -1.00, 0.08, -0.18, -0.18, 0.00, 42.75, 213.75, 11277.50, 2410.00, -, -, -, -, -, -, -, 144, 1023, 0.00, 1420, 0.67, 
18374, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.04, 1.04, -18.65, 47.45, -5.03, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
18512, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.28, 1.10, -19.13, 47.99, -5.31, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
18655, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.04, 1.16, -19.09, 47.51, -4.99, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
18793, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.16, 1.10, -19.64, 47.81, -4.61, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
18931, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.10, -20.15, 47.07, -3.04, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
19474, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 1.16, -20.04, 47.44, -4.37, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
19612, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.28, 1.04, 1.16, -20.08, 47.77, -3.36, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
19750, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -19.71, 47.74, -3.42, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
19888, 39.90, 946.93, 9.34, 37285, 567.31, 11.55, 35.39, -0.95, -0.37, 0.10, -1.53, 1.10, 1.04, -18.74, 47.88, -3.61, -0.00, -1.00, 0.08, -0.18, -0.12, 0.00, 42.71, 210.00, 11275.00, 2370.00, -, -, -, -, -, -, -, 145, 1023, 0.00, 1388, 0.68, 
21330, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 1.16, -17.72, 48.16, -4.46, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
21468, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.10, 1.04, -17.49, 48.80, -6.07, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
21611, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.10, 1.16, -18.52, 48.18, -6.29, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
21749, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 1.04, -19.63, 47.89, -4.46, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
21887, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.10, 1.22, -19.57, 46.75, -2.65, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
22430, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.22, 1.10, -18.59, 48.34, -6.07, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
22568, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.04, 0.98, -18.38, 48.44, -5.69, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
22706, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 0.98, -17.70, 47.95, -6.46, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
22844, 39.88, 946.93, 9.31, 40855, 567.31, 11.52, 35.42, -0.95, -0.37, 0.10, -1.40, 1.04, 0.92, -19.49, 47.66, -6.48, -0.00, -1.00, 0.08, -0.18, -0.18, 0.00, 43.13, 211.25, 11277.50, 2380.00, -, -, -, -, -, -, -, 145, 1023, 0.00, 1455, 0.34, 
24296, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.28, 1.04, -17.72, 48.78, -6.63, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
24434, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 1.04, -18.13, 47.51, -6.52, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
24577, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.16, 1.10, -17.71, 48.11, -5.88, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
24715, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -17.85, 48.27, -5.92, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
24853, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.10, 1.04, -19.03, 47.62, -4.69, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
25391, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.16, 1.22, -19.47, 47.25, -4.77, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
25534, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 1.22, -19.86, 47.56, -2.40, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
25672, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 0.98, 1.10, -21.12, 47.84, -5.86, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
25810, 39.88, 946.92, 9.29, 44429, 567.40, 11.52, 35.47, -0.95, -0.37, 0.10, -1.46, 1.10, 1.04, -18.36, 47.97, -5.15, -0.00, -1.00, 0.08, -0.18, -0.18, 0.00, 43.72, 216.25, 11276.25, 2440.00, -, -, -, -, -, -, -, 144, 1023, 0.00, 1481, 0.00, 
27268, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 0.98, 0.98, -19.40, 47.66, -5.77, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
27406, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 1.04, -18.76, 48.25, -5.58, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
27544, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 0.98, -18.24, 47.94, -5.87, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
27687, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -19.95, 48.46, -5.32, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
27825, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 1.04, -19.81, 47.17, -3.49, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
28363, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.28, 1.16, -20.50, 48.03, -4.71, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
28506, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.04, 1.10, -18.87, 48.19, -6.92, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
28644, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 0.98, -19.49, 49.02, -6.16, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
28782, 39.88, 946.93, 9.28, 48311, 567.40, 11.47, 35.48, -0.95, -0.37, 0.10, -1.40, 1.10, 1.10, -19.70, 47.81, -4.54, -0.00, -1.00, 0.08, -0.18, -0.18, 0.00, 44.32, 212.50, 11276.25, 2390.00, -, -, -, -, -, -, -, 145, 1023, 0.00, 1492, 1.01, 
30237, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 1.04, -18.92, 47.99, -7.69, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
30375, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 1.04, -17.52, 48.38, -6.34, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
30513, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.10, 1.04, -18.30, 48.58, -6.82, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
30656, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -17.69, 48.40, -5.79, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
30794, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.04, 1.10, -19.24, 48.24, -4.70, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
31332, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 1.10, -17.58, 47.91, -6.82, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
31475, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 1.04, -19.80, 47.58, -2.94, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
31613, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 1.16, -20.51, 47.77, -6.37, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
31751, 39.89, 946.92, 9.27, 51364, 567.40, 11.34, 35.52, -0.95, -0.37, 0.10, -1.34, 1.04, 1.10, -19.70, 47.95, -4.26, -0.00, -1.00, 0.08, -0.18, -0.12, 0.00, 44.74, 225.00, 11275.00, 2530.00, -, -, -, -, -, -, -, 144, 1023, 0.00, 1485, 0.34, 
33203, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.16, 1.10, -20.08, 48.32, -5.46, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
33341, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 0.98, -17.68, 48.52, -5.22, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
33479, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.16, 1.16, -19.54, 47.97, -3.82, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
33622, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.28, 1.10, -18.71, 48.62, -6.63, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
33760, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.28, 1.10, -20.47, 48.11, -7.46, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
34298, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.16, 1.16, -20.10, 47.95, -5.27, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
34441, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.22, 1.10, -17.40, 48.29, -7.25, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
34579, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.10, 1.16, -20.09, 47.35, -3.93, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
34717, 39.90, 946.92, 9.25, 54306, 567.40, 11.35, 35.57, -0.95, -0.37, 0.10, -1.46, 1.16, 1.10, -18.99, 48.25, -5.86, -0.00, -1.00, 0.08, -0.18, -0.12, 0.00, 44.10, 222.50, 11276.25, 2510.00, -, -, -, -, -, -, -, 145, 1023, 0.00, 1440, 0.00, 
36169, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.22, 1.04, -18.85, 47.77, -3.28, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
36307, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.04, 1.04, -17.92, 47.71, -3.98, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
36445, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.16, 1.10, -19.62, 47.46, -3.67, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
36588, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.10, 0.92, -18.44, 48.77, -4.90, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
36726, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.34, 0.98, -19.18, 48.77, -8.39, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
37264, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.10, 1.16, -17.31, 48.34, -5.74, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
37402, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.16, 1.22, -19.97, 47.79, -4.81, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
37545, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 1.16, -18.18, 48.62, -5.25, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
37683, 39.91, 946.92, 9.25, 57066, 567.40, 11.32, 35.58, -0.95, -0.37, 0.10, -1.46, 1.16, 1.16, -19.71, 48.10, -5.19, -0.00, -1.00, 0.08, -0.18, -0.18, 0.00, 44.09, 222.50, 11275.00, 2510.00, -, -, -, -, -, -, -, 145, 1023, 0.00, 1461, 0.34, 
39135, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.22, 1.04, -18.88, 47.94, -4.77, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
39273, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.16, 1.22, -20.63, 48.16, -3.63, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
39411, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.10, 1.04, -18.75, 48.49, -6.36, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
39549, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.10, 1.16, -18.63, 47.75, -4.55, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
39692, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.22, 1.10, -19.79, 48.27, -5.26, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
40230, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.16, 1.16, -18.48, 48.83, -7.18, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
40368, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.16, 1.04, -19.24, 47.67, -4.53, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
40511, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.16, 1.04, -19.62, 48.22, -4.93, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
40649, 39.92, 946.92, 9.23, 59534, 567.48, 11.40, 35.61, -0.95, -0.37, 0.10, -1.59, 1.22, 1.10, -18.49, 48.52, -7.36, -0.00, -1.00, 0.08, -0.24, -0.12, 0.00, 43.92, 215.00, 11275.00, 2420.00, -, -, -, -, -, -, -, 144, 1023, 0.00, 1455, 0.00, 
42096, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.10, 1.10, -19.18, 48.56, -8.18, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
42239, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.10, 0.98, -19.45, 48.29, -3.31, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
42377, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.16, 0.98, -17.26, 49.12, -6.13, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
42515, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.59, 1.28, 1.10, -18.85, 47.71, -5.62, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
42658, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.53, 1.22, 1.16, -18.70, 48.25, -5.05, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
43196, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.04, 0.92, -18.69, 48.63, -5.29, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
43334, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.16, 0.98, -17.69, 48.19, -5.18, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
43477, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.10, 1.04, -17.03, 49.27, -6.97, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
43615, 39.93, 946.92, 9.22, 61642, 567.40, 11.40, 35.66, -0.95, -0.37, 0.10, -1.28, 1.10, 1.04, -19.46, 48.52, -7.23, -0.00, -1.00, 0.08, -0.24, -0.06, 0.00, 44.01, 213.75, 11272.50, 2410.00, -, -, -, -, -, -, -, 145, 1023, 0.00, 1480, 0.00, 
45062, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.04, 1.04, -18.98, 47.91, -4.98, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
45205, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.34, 1.22, 1.16, -17.74, 48.83, -7.20, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
45343, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.46, 1.22, 0.98, -20.29, 47.75, -4.80, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
45481, -, -, -, -, -, -, -, -0.95, -0.37, 0.10, -1.40, 1.28, 1.10, -18.43, 48.52, -7.63, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
